Overall Rank,Code,State,Total Score,Emotional Well-Being Rank,Work Environment Rank,Community & Environment Rank
1,UT,Utah,71.02,4,1,2
2,MN,Minnesota,69.09,1,9,5
3,ND,North Dakota,67.95,11,2,1
4,HI,Hawaii,66.63,2,20,3
5,CO,Colorado,61.59,3,18,36
6,ID,Idaho,60.93,24,3,4
7,IA,Iowa,60.92,14,5,14
8,NE,Nebraska,60.65,12,8,18
9,SD,South Dakota,60.08,9,6,35
10,CA,California,59.96,5,36,6
11,NH,New Hampshire,59.5,7,21,16
12,WA,Washington,59.26,20,13,7
13,WY,Wyoming,59.24,17,19,8
14,VT,Vermont,58.01,10,22,30
15,WI,Wisconsin,57.8,19,17,11
16,MA,Massachusetts,57.42,15,26,17
17,CT,Connecticut,57.04,13,38,12
18,DE,Delaware,57.01,21,7,31
19,NJ,New Jersey,56.82,6,41,24
20,VA,Virginia,56.61,22,23,10
21,MT,Montana,55.49,25,4,42
22,MD,Maryland,55.14,16,38,22
23,KS,Kansas,54.55,23,15,40
24,IL,Illinois,52.6,26,40,23
25,NY,New York,52.54,27,43,13
26,RI,Rhode Island,52.37,31,33,15
27,AK,Alaska,52.23,18,37,46
28,TX,Texas,52.23,33,27,20
29,NC,North Carolina,52.16,32,30,21
30,AZ,Arizona,51.51,28,31,38
31,OR,Oregon,51.4,36,16,29
32,ME,Maine,51.32,30,35,27
33,PA,Pennsylvania,49.98,38,32,9
34,FL,Florida,49.14,29,44,41
35,NV,Nevada,48.23,35,42,32
36,GA,Georgia,47.43,34,46,37
37,SC,South Carolina,47.06,39,29,25
38,OH,Ohio,46.04,42,25,19
39,IN,Indiana,45.94,44,12,33
40,NM,New Mexico,45.02,37,50,43
41,MO,Missouri,44.58,41,14,47
42,MI,Michigan,44.17,40,24,49
43,OK,Oklahoma,41.36,47,10,39
44,TN,Tennessee,39.96,45,28,45
45,LA,Louisiana,39.03,43,49,50
46,AR,Arkansas,38.22,49,11,48
47,MS,Mississippi,36.05,46,34,51
48,KY,Kentucky,35.08,50,45,34
49,AL,Alabama,34.15,48,48,44
50,WV,West Virginia,32.65,47,47,28
